COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Trinidad and Tobago,Americas,151806,10847.253,3176,226.94,214,3856,275.529,23,1.643,4,2.5400808849945693,TTO,AMRO,REPORTING,5/6/2022,1553619.0,747661.0,111.013,53.424,711507.0,50.841,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5.0,151283.0,10.81
Brunei Darussalam,Western Pacific,143372,32772.316,1293,295.557,265,159,36.345,1,0.229,0,0.110901530425863,BRN,WPRO,REPORTING,5/6/2022,1124061.0,432057.0,256.941,98.761,409091.0,93.511,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4/3/2021,5.0,282887.0,64.663
Cambodia,Western Pacific,136262,815.015,5,0.03,0,3056,18.279,0,0.0,0,2.2427808077151954,KHM,WPRO,REPORTING,5/6/2022,38460280.0,14932546.0,230.04,89.315,14192815.0,84.891,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/10/2021,7.0,8586491.0,51.358
Jamaica,Americas,131327,4434.974,989,33.399,0,2980,100.636,11,0.371,0,2.2691452080666084,JAM,AMRO,REPORTING,5/6/2022,1420563.0,792047.0,47.973,26.748,688645.0,23.256,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/10/2021,5.0,37608.0,1.27
Rwanda,Africa,129875,1002.724,36,0.278,0,1459,11.264,0,0.0,0,1.1233400217806695,RWA,AFRO,REPORTING,5/8/2022,20141669.0,9005283.0,155.507,69.527,8405309.0,64.895,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021,7.0,4188208.0,32.336
Cameroon,Africa,119780,451.219,0,0.0,0,1927,7.259,0,0.0,0,1.6087531775036068,CMR,AFRO,REPORTING,5/8/2022,1828882.0,1552320.0,6.89,5.848,1209108.0,4.555,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021,4.0,52011.0,0.196
Angola,Africa,99287,302.094,0,0.0,0,1900,5.781,0,0.0,0,1.9136427734413792,AGO,AFRO,REPORTING,5/8/2022,17896626.0,12059919.0,54.453,36.694,6327907.0,19.253,SII - Covishield,3/10/2021,1.0,369899.0,1.125
Malta,Europe,93041,18081.521,891,173.156,123,713,138.564,11,2.138,2,0.7663293370065493,MLT,EURO,REPORTING,4/24/2022,1216447.0,449828.0,236.4,87.419,443707.0,86.23,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4.0,347060.0,67.447
Senegal,Africa,86016,513.715,9,0.054,0,1966,11.742,0,0.0,0,2.285703162259229,SEN,AFRO,REPORTING,5/8/2022,2469499.0,1465788.0,14.749,8.754,1047236.0,6.254,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2/23/2021,3.0,7027.0,0.042
Malawi,Africa,85816,448.595,26,0.136,0,2634,13.769,0,0.0,0,3.0693610049153466,MWI,AFRO,REPORTING,5/8/2022,2054585.0,1596607.0,10.74,8.346,908688.0,4.75,"Janssen - Ad26.COV 2-S,SII - Covishield",3/11/2021,2.0,740.0,0.004
Côte d’Ivoire,Africa,81974,310.763,15,0.057,0,799,3.029,0,0.0,0,0.9746977600293472,CIV,AFRO,REPORTING,5/8/2022,12387947.0,7952458.0,46.963,30.148,5445391.0,20.643,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5.0,87290.0,0.331
French Guiana,Americas,80859,27071.936,0,0.0,0,395,132.248,0,0.0,0,0.4885058829926311,GUF,AMRO,REPORTING,5/6/2022,227699.0,97727.0,76.235,32.719,88414.0,29.601,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,2.0,41558.0,13.914
Suriname,Americas,79393,13533.697,57,9.716,0,1328,226.377,0,0.0,0,1.672691504767692,SUR,AMRO,REPORTING,5/6/2022,553668.0,267593.0,94.381,45.615,237596.0,40.502,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,5.0,48479.0,8.264
Barbados,Americas,73856,25700.217,3363,1170.248,264,430,149.63,32,11.135,24,0.5822129828709228,BRB,AMRO,REPORTING,5/6/2022,361863.0,161776.0,125.92,56.294,152018.0,52.899,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/8/2021,5.0,48069.0,16.727
Fiji,Western Pacific,64725,7220.186,79,8.813,0,862,96.158,0,0.0,0,1.331793945474535,FJI,WPRO,REPORTING,5/5/2022,1447529.0,687835.0,161.474,76.729,634655.0,70.797,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3/7/2021,3.0,125039.0,13.948
