COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Sudan,SDN,EMRO,REPORTING,5/1/2022,7096087,5929766,16.183,13.523,3631390,8.282,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/9/2021,11,38261,0.087
Suriname,SUR,AMRO,REPORTING,5/6/2022,553668,267593,94.381,45.615,237596,40.502,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,5,48479,8.264
Sweden,SWE,EURO,REPORTING,5/1/2022,21331347,7550310,206.5,73.108,7381438,71.473,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,5310978,51.425
Switzerland,CHE,EURO,REPORTING,5/1/2022,16198374,6413965,187.2,74.529,5995819,69.67,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,3,3847049,44.702
Syrian Arab Republic,SYR,EMRO,REPORTING,5/7/2022,3743771,2484582,21.392,14.197,1563875,8.936,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/1/2021,11,14011,0.08
Tajikistan,TJK,EURO,REPORTING,5/1/2022,12271999,5182002,128.7,54.332,4959462,51.999,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/24/2021,6,2130535,22.338
Thailand,THA,SEARO,REPORTING,5/9/2022,134171194,56221946,192.222,80.547,51539030,73.838,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/28/2021,7,26410218,37.837
The United Kingdom,GBR,EURO,REPORTING,5/4/2022,142305640,53242209,209.6,78.228,49762476,73.116,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,,
Timor-Leste,TLS,SEARO,REPORTING,5/10/2022,1496002,789433,113.467,59.876,637871,48.381,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/7/2021,4,68698,5.211
Togo,TGO,AFRO,REPORTING,5/8/2022,3290821,2037429,39.75,24.61,1557538,18.814,SII - Covishield,3/10/2021,1,54353,0.657
Tokelau,TKL,WPRO,REPORTING,4/21/2022,3538,1339,262.074,99.185,1337,99.037,Pfizer BioNTech - Comirnaty,7/20/2021,1,862,63.852
Tonga,TON,WPRO,REPORTING,4/28/2022,261560,104624,247.467,98.987,97151,91.916,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/14/2021,2,59785,56.564
Trinidad and Tobago,TTO,AMRO,REPORTING,5/6/2022,1553619,747661,111.013,53.424,711507,50.841,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,151283,10.81
Tunisia,TUN,EMRO,REPORTING,5/9/2022,13151111,7225647,111.275,61.138,6368899,53.889,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/13/2021,10,1243334,10.52
Turkey,TUR,EURO,OWID,4/26/2022,147426248,57812094,174.8,69.523,53025688,63.767,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",,3,,
Turkmenistan,TKM,EURO,REPORTING,3/6/2022,7140000,2970000,118.4,49.244,2920000,48.415,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",2/24/2021,7,1250000,20.726
Turks and Caicos Islands,TCA,AMRO,REPORTING,5/6/2022,68800,31491,177.695,81.334,29458,76.083,Pfizer BioNTech - Comirnaty,1/11/2021,1,7851,20.277
Tuvalu,TUV,WPRO,REPORTING,4/5/2022,12528,6368,106.242,54.003,6160,52.239,AstraZeneca - Vaxzevria,4/13/2021,1,,
